# index x y z
188 0.924547 0.456626 0.966405
189 0.927094 0.456427 0.965254
190 0.93499 0.456029 0.96583
191 0.94035 0.455828 0.967545
192 0.945724 0.455625 0.969247
193 0.951815 0.455421 0.971651
194 0.958625 0.455214 0.974754
195 0.966161 0.455005 0.978551
196 0.979372 0.454786 0.988029
197 0.916559 0.455194 0.9813
198 0.920479 0.454992 0.981617
199 0.920277 0.454794 0.977537
200 0.921446 0.454595 0.974926
201 0.924686 0.454393 0.974503
202 0.925854 0.454194 0.971893
203 0.928407 0.453993 0.970737
204 0.931657 0.453789 0.970302
205 0.934217 0.453587 0.969139
206 0.937478 0.453383 0.968695
207 0.942842 0.453171 0.970404
208 0.946819 0.452963 0.970662
209 0.951506 0.452751 0.971629
210 0.956908 0.452536 0.973301
211 0.963029 0.452316 0.975673
212 0.971286 0.452086 0.980166
213 0.910489 0.452966 0.982832
214 0.917815 0.452748 0.986838
215 0.921052 0.452542 0.986417
216 0.924294 0.452335 0.985991
217 0.924789 0.45214 0.982634
218 0.926658 0.451939 0.980743
219 0.928526 0.451738 0.978852
220 0.929703 0.45154 0.976233
221 0.93157 0.451339 0.974343
222 0.934132 0.451135 0.973178
223 0.936001 0.450934 0.971286
224 0.939265 0.450725 0.970837
225 0.944633 0.450503 0.972543
226 0.949314 0.450284 0.973515
227 0.951899 0.450077 0.972325
228 0.957302 0.449852 0.973995
229 0.962013 0.44963 0.974937
230 0.968148 0.449397 0.977293
231 0.975714 0.449152 0.981055
232 0.914961 0.450308 0.987969
233 0.919561 0.45009 0.989023
234 0.921431 0.449889 0.98713
235 0.923987 0.449683 0.98597
236 0.925171 0.449487 0.983345
237 0.92773 0.449281 0.982181
238 0.928911 0.449084 0.979559
239 0.930781 0.448883 0.977666
240 0.932651 0.448682 0.975773
241 0.935216 0.448475 0.974605
242 0.937783 0.448268 0.973433
243 0.942447 0.448043 0.974423
244 0.947121 0.447817 0.975401
245 0.950406 0.447602 0.974931
246 0.954398 0.44738 0.975172
247 0.958398 0.447157 0.975405
248 0.961702 0.44694 0.974916
249 0.96713 0.446702 0.976559
250 0.971157 0.446476 0.976765
251 0.91143 0.447879 0.988359
252 0.916702 0.447648 0.990158
253 0.919254 0.44744 0.989002
254 0.921809 0.447233 0.987843
255 0.925053 0.447018 0.987414
256 0.926927 0.446816 0.985517
257 0.929491 0.446608 0.98435
258 0.931366 0.446406 0.982451
259 0.93255 0.446212 0.979826
260 0.934424 0.44601 0.977929
261 0.936298 0.445808 0.976032
262 0.938173 0.445607 0.974135
263 0.942139 0.445382 0.974402
264 0.947511 0.445139 0.976099
265 0.951497 0.444912 0.976347
266 0.954789 0.444692 0.975868
267 0.958791 0.444463 0.9761
268 0.9628 0.444234 0.976323
269 0.966818 0.444003 0.976537
270 0.971551 0.443762 0.977455
271 0.912486 0.445225 0.989814
272 0.918442 0.444975 0.992347
273 0.920314 0.444774 0.990451
274 0.922872 0.444564 0.98929
275 0.926804 0.444336 0.98959
276 0.928683 0.444134 0.987689
277 0.93125 0.443923 0.986517
278 0.93382 0.443712 0.985343
279 0.935701 0.443509 0.983439
280 0.936889 0.443316 0.98081
281 0.938769 0.443114 0.978907
282 0.941344 0.442902 0.977727
283 0.943923 0.44269 0.976544
284 0.951393 0.442408 0.980397
285 0.953987 0.442194 0.979199
286 0.955882 0.44199 0.977281
287 0.959183 0.441765 0.976794
288 0.963897 0.441519 0.97773
289 0.967211 0.441293 0.977229
290 0.972652 0.441033 0.978856
291 0.986605 0.44064 0.988989
292 0.91082 0.442603 0.988317
293 0.916772 0.442341 0.990853
294 0.920691 0.442109 0.991166
295 0.923249 0.441897 0.990003
296 0.927182 0.441664 0.990302
297 0.930436 0.44144 0.989861
298 0.934385 0.441205 0.990145
299 0.936961 0.440991 0.988963
300 0.938849 0.440788 0.987052
301 0.940045 0.440596 0.984416
302 0.941932 0.440393 0.982506
303 0.943818 0.44019 0.980596
304 0.947796 0.439952 0.98085
305 0.95248 0.4397 0.981816
306 0.955776 0.439472 0.981333
307 0.958376 0.439256 0.980128
308 0.960277 0.439051 0.978204
309 0.962881 0.438834 0.976994
310 0.966899 0.438592 0.977207
311 0.968805 0.438387 0.975278
312 0.973543 0.438129 0.976189
313 0.979002 0.437858 0.977796
314 0.917147 0.439679 0.991568
315 0.921749 0.439429 0.992615
316 0.924995 0.439202 0.992183
317 0.928931 0.438962 0.992478
318 0.932876 0.438721 0.992764
319 0.936829 0.43848 0.993042
320 0.940101 0.43825 0.992583
321 0.941996 0.438046 0.990665
322 0.943198 0.437856 0.988022
323 0.944398 0.437665 0.985381
324 0.945595 0.437475 0.982743
325 0.950273 0.437217 0.983714
326 0.954263 0.436971 0.983954
327 0.956864 0.436753 0.982748
328 0.958766 0.436548 0.980823
329 0.959263 0.436372 0.977467
330 0.961162 0.436168 0.975545
331 0.960947 0.436008 0.971484
332 0.963548 0.435789 0.970277
333 0.966152 0.43557 0.969068
334 0.969468 0.435336 0.968564
335 0.974922 0.435055 0.970176
336 0.984661 0.43468 0.976008
337 0.917521 0.437013 0.992284
338 0.923489 0.436726 0.9948
339 0.927422 0.436481 0.995097
340 0.932734 0.436205 0.996851
341 0.936 0.435972 0.996398
342 0.93996 0.435724 0.996669
343 0.942548 0.435505 0.995475
344 0.94514 0.435285 0.994278
345 0.945657 0.435111 0.990902
346 0.947557 0.434907 0.98898
347 0.948761 0.434718 0.986335
348 0.949962 0.43453 0.983692
349 0.953952 0.434278 0.983932
350 0.955853 0.434073 0.982009
351 0.955651 0.433918 0.977934
352 0.956144 0.433746 0.974583
353 0.956631 0.433575 0.971238
354 0.954998 0.433455 0.965761
355 0.954763 0.433303 0.96172
356 0.95735 0.433084 0.960527
357 0.96065 0.432847 0.96004
