# index x y z
188 0.889415 1.33601 2.04499
189 0.894423 1.33792 2.04732
190 0.898098 1.33851 2.04656
191 0.859273 1.32991 2.05874
192 0.85985 1.32741 2.05076
193 0.860848 1.32535 2.04384
194 0.864027 1.3255 2.0421
195 0.866769 1.3252 2.03932
196 0.871715 1.32711 2.04171
197 0.878003 1.33034 2.04718
198 0.882537 1.3318 2.04851
199 0.887528 1.3337 2.05085
200 0.891194 1.33429 2.0501
201 0.895312 1.33531 2.05037
202 0.861258 1.33158 2.07399
203 0.858389 1.32557 2.05767
204 0.858965 1.32308 2.0497
205 0.859963 1.32103 2.04277
206 0.863578 1.32161 2.04207
207 0.867198 1.32219 2.04136
208 0.872587 1.32453 2.04478
209 0.877993 1.32686 2.04818
210 0.882971 1.32876 2.05054
211 0.887074 1.32978 2.05082
212 0.889847 1.32948 2.04801
213 0.894857 1.33137 2.05034
214 0.860372 1.32722 2.07292
215 0.857505 1.32123 2.0566
216 0.85982 1.3205 2.05278
217 0.859514 1.31715 2.04274
218 0.863567 1.31816 2.04307
219 0.867188 1.31874 2.04236
220 0.873017 1.3215 2.04681
221 0.877098 1.32251 2.04712
222 0.882961 1.32527 2.05153
223 0.88662 1.32585 2.05079
224 0.890285 1.32642 2.05004
225 0.859733 1.32621 2.08195
226 0.858191 1.32155 2.06872
227 0.855321 1.31559 2.05241
228 0.857196 1.31443 2.04756
229 0.85863 1.31283 2.04167
230 0.862242 1.3134 2.04097
231 0.866299 1.31441 2.0413
232 0.872125 1.31716 2.04575
233 0.876205 1.31817 2.04606
234 0.881621 1.32048 2.04944
235 0.885277 1.32105 2.0487
236 0.889384 1.32205 2.04898
237 0.893947 1.32349 2.05027
238 0.858418 1.32141 2.07983
239 0.856443 1.31634 2.06557
240 0.855304 1.31214 2.05342
241 0.857181 1.31098 2.04856
242 0.859489 1.31025 2.04475
243 0.86398 1.31169 2.04612
244 0.866288 1.31096 2.0423
245 0.871674 1.31326 2.04572
246 0.875753 1.31426 2.04603
247 0.881168 1.31656 2.04941
248 0.884823 1.31712 2.04867
249 0.889375 1.31856 2.04997
250 0.893491 1.31955 2.05024
251 0.857964 1.31747 2.0798
252 0.855129 1.31156 2.06346
253 0.854855 1.30825 2.05339
254 0.856732 1.30709 2.04853
255 0.85904 1.30636 2.04472
256 0.863092 1.30736 2.04505
257 0.867154 1.30836 2.04537
258 0.871223 1.30936 2.04569
259 0.87486 1.30992 2.04496
260 0.880272 1.31221 2.04835
261 0.88437 1.3132 2.04864
262 0.888921 1.31462 2.04994
263 0.857509 1.31354 2.07977
264 0.854677 1.30766 2.06343
265 0.854405 1.30436 2.05336
266 0.856717 1.30363 2.04954
267 0.859461 1.30334 2.04676
268 0.862206 1.30304 2.04399
269 0.867141 1.30489 2.04638
270 0.871651 1.30631 2.04772
271 0.874849 1.30644 2.04596
272 0.880262 1.30872 2.04935
273 0.88436 1.3097 2.04964
274 0.888911 1.31112 2.05094
275 0.855766 1.30833 2.07661
276 0.853364 1.3029 2.06131
277 0.85309 1.29961 2.05125
278 0.855833 1.29931 2.04847
